Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
5304,8629083,152384100,2123100,3202100
5305,411204,7398900,86100,121600
5306,5306241,93163300,1315800,2005100
5307,3272463,60452200,916600,1240700
5308,4557482,84410800,1317700,1767400
5309,8680357,158115700,2984500,4023000
5310,6176034,110451000,1532700,2275300
5311,9948294,174402100,2350400,3689500
5312,7978457,139334400,1984500,2952600
5313,6218813,114081500,1678400,2329400
5314,6215603,113614200,1591400,2362800
5315,572484,10159400,125300,176300
5316,1043793,18798100,291000,348400
5317,4558835,80422900,1125000,1705900
5318,9034363,156735400,2148200,3261100
5319,6918491,117427900,1643200,2446400
5320,1338202,22890000,273800,409000
5321,9616995,162762600,2330000,3693800
5322,8489024,149582800,2047100,3061900
5323,3954811,70092200,1150200,1448300
5324,1362432,23345200,268500,419600
5325,9423244,159433900,2221900,3344300
5326,892517,15066400,140100,242400
5327,2357789,42820200,582900,829400
5328,7376175,126202700,1759700,2670100
5329,9102852,159935300,2159300,3252800
5330,4341069,73140300,1069300,1531000
5331,7724528,137181200,1816900,2713800
5332,8436962,143525400,2046900,3051100
5333,5902251,99733400,1380700,2155000
5334,237239,3992300,31400,63600
5335,9692096,168810000,2289200,3420700
5336,3077548,51871900,713700,1059400
5337,2195945,38014500,517300,718000
5338,8946943,151180700,2135700,3165200
5339,1666226,31122000,468900,654700
5340,1648614,28985900,299300,465200
5341,301667,5065900,40500,78600
5342,5007395,84473400,1222200,1765700
5343,6901496,119137100,1659600,2482400
5344,3232690,56748800,782200,1123800
5345,5130851,90244600,1240700,1805700
5346,2010843,36140400,464300,678200
5347,3536001,59667900,841200,1204200
5348,831295,14108600,139500,235400
5349,6420540,108956700,1539300,2371100
5350,332169,5601600,44900,97400
5351,3384425,56954500,780900,1377500
5352,2086247,35205100,432400,633300
5353,9606135,162610100,2275500,3505700
5354,4211699,71192000,1114000,1571500
5355,9873998,170644500,2394300,3634500
5356,8289530,143046600,2063500,3275500
5357,1822922,30764000,332200,546100
5358,572740,9729300,82400,149300
5359,7214658,122589700,1733200,2566800
5360,40662,697400,5600,10700
5361,6617101,111711300,1566800,2345100
5362,3771877,64932200,926000,1361300
5363,4075780,70353900,985000,1451600
5364,986810,16637200,154500,264700
5365,8323609,141260800,2376800,3191100
5366,2236051,40171500,512600,754900
5367,9524904,166983700,2328800,3537500
5368,6143333,112330600,1528500,2266800
5369,6616532,117932200,1613800,2520100
5370,2699826,46283700,603500,988800
5371,7125090,125155200,1741500,2621500
5372,2293550,39782100,477000,697200
5373,9593168,166095000,2515400,3701500
5374,8631759,161177000,2526700,3868300
5375,3916353,67936500,947900,1379000
5376,7622000,148039800,2071500,3002600
5377,6972598,124503300,1823500,2582200
5378,7671594,140425800,1924300,3011600
5379,3574562,62755200,974900,1406700
5380,7707800,142867400,1874100,2817400
5381,1189379,20161900,208200,337600
5382,6558860,111943500,1626200,2307800
5383,4255973,75452700,1024100,1602100
5384,2415884,42841400,651200,988000
5385,5598822,102390500,1363700,2151600
5386,9552782,174830700,2454500,3632400
